Name;platform;genre;global_sales;release_year
Call of Duty: Black Ops: Cold War ;ALL;FPS;5,7;2020
Assassin’s Creed: Valhalla;ALL;RPG;1,7;2020
Marvel’s Spider-Man: Miles Morales;PS4;Action;4,1;2020
Animal Crossing: New Horizons ;Switch;Simulation;22;2020
NBA 2K21 ;Console;Sport;8;2020
super mario 3d all stars ;Switch;Adventure;5,21;2020
Cyberpunk 2077;Mix;Action;10,21;2020
The Last of Us Part II;PS4;Horror;4;2020
Half Life Alyx;PC;Action;0,68;2020
Ghost of Tsushima;ALL;Action;2,4;2020
Final Fantasy VII Remake;PS4;RPG;5;2020
Ori and the Will of the Wisps;ALL;Aventure;2;2020
Demon's Souls;PS5;Action;8;2020
Microsoft Flight Simulator;PC;Simulation;2,27;2020
Crusader Kings III;ALL;Tactic;1;2020
F1 2020;ALL;Sport;1;2020
Spelunky 2;ALL;Adventure;0,5;2020
FIFA 21;Console;Sport;1,5;2020
Immortals: Fenyx Rising;ALL;RPG;0,5;2021
Watch Dogs Legion;ALL;Action;1,9;2020
Mortal Kombat 11;ALL;Combat;8;2021
Just Dance 2021;Console;Dance;9;2021
UFC 4;ALL;Combat;0,7;2021
Hitman 3;ALL;Action;1;2021
Little Nightmares 2;ALL;Horror;0,4;2021
Granblue Fantasy: Versus ;ALL;RPG;0,3;2020
Among us;ALL;Simulation;2;2020
Football Manager 21;ALL;Sport;1;2021
World of Warcraft Shadowlands;PC;RPG;3,7;2021
Genshin Impact;PC;RPG;17;2020
Person 5 Strikers;PC;Combat;1;2020
Yakuza: like a dragon;PC;Combat;0,3;2020
Doom Eternal;ALL;Action;3;2020
Resident Evil 3;PS4;Action;3,6;2020
Nioh 2;ALL;Action;1,4;2020
Godfall;PS5;Action;0,4;2020
Marvel's avengers;ALL;RPG;3;2020
